Station,MAE, MSE,RMSE,R2,,,,,,PARAMETER,AVERAGE MAE,AVERAGE MSE,AVERAGE RMSE,AVERAGE R2
42,0.870524434,1.808843504,1.344932528,0.977392628,,,,,,Bike Station,,,,
30,0.465125149,0.703390226,0.838683627,0.961439045,,,,,,Available Bike  Stands,0.754,2.285,1.447,0.966
54,0.522491061,1.254279023,1.119945991,0.973520868,,,,,,Available Bikes,0.752,2.272,1.442,0.966
108,0.514040524,1.120074136,1.05833555,0.989109535,,,,,,Weather,,,,
56,1.212777116,5.411273421,2.326214397,0.947056189,,,,,,main_temp,0.256538908,0.173240186,0.416221318,0.982769756
6,0.583682956,0.948305959,0.973810022,0.97459942,,,,,,main_feels_like,0.425911731,0.579625668,0.76133151,0.93579148
18,0.939308701,3.021666746,1.738294206,0.952168586,,,,,,main_pressure,0.17960511,0.106446225,0.326260977,0.999453893
32,1.098879619,3.99318379,1.998295221,0.896605411,,,,,,main_humidity,2.555911731,14.00315912,3.742079518,0.873247242
52,0.75545888,2.456461621,1.567310314,0.962594286,,,,,,main_temp_min,0.278315912,0.205021719,0.452793241,0.980531098
48,0.998355185,3.575162098,1.890809905,0.966001032,,,,,,main_temp_max,0.307409988,0.241941463,0.491875455,0.97548472
13,0.518772348,1.367017282,1.169195143,0.976766224,,,,,,wind_speed,0.451118118,0.665969461,0.81606952,0.891950984
43,1.06601907,3.727307867,1.930623699,0.947050189,,,,,,wind_deg,7.286504065,446.1720049,21.12278402,0.901932654
81,0.400893921,0.721482598,0.849401318,0.991657386,,,,,,,,,,
31,1.039618594,2.76821025,1.663793933,0.923292068,,,,,,,,,,
98,0.531370679,1.252360906,1.11908932,0.987938637,,,,,,,,,,
23,1.106555423,3.977699166,1.994416999,0.936085447,,,,,,,,,,
106,0.579702026,1.966048749,1.402158603,0.975526473,,,,,,,,,,
112,0.951716329,2.386104768,1.544702161,0.97482013,,,,,,,,,,
68,1.056603099,3.684685936,1.919553577,0.967969496,,,,,,,,,,
74,0.625280095,1.150335757,1.072537065,0.979286469,,,,,,,,,,
87,0.59874851,1.219157211,1.104154523,0.984844849,,,,,,,,,,
84,0.733933254,1.898890226,1.378002259,0.976516363,,,,,,,,,,
90,0.727806913,2.28515292,1.511672226,0.980178408,,,,,,,,,,
11,0.539630513,1.854213945,1.361695247,0.966373314,,,,,,,,,,
17,0.531334923,0.78207354,0.884349218,0.968642242,,,,,,,,,,
45,0.486436234,0.749142312,0.865530076,0.991257034,,,,,,,,,,
114,0.846805721,3.174496901,1.78171179,0.966146868,,,,,,,,,,
72,0.838379023,2.265153039,1.505042537,0.966532439,,,,,,,,,,
63,0.76727056,2.39985006,1.549144945,0.964686417,,,,,,,,,,
113,0.470774732,0.968981406,0.984368532,0.991391118,,,,,,,,,,
91,1.083301549,3.853658284,1.963073683,0.944593622,,,,,,,,,,
99,0.478247914,0.948522884,0.973921395,0.988567601,,,,,,,,,,
9,1.399272944,5.499076639,2.34501101,0.909425797,,,,,,,,,,
67,1.134064362,5.345044338,2.311935193,0.951672153,,,,,,,,,,
116,0.190059595,0.250657688,0.500657256,0.979039233,,,,,,,,,,
55,0.432026222,1.095682122,1.046748356,0.988103744,,,,,,,,,,
62,0.621334923,1.601389035,1.265460009,0.985444171,,,,,,,,,,
5,1.398557807,5.832436114,2.415043709,0.935432926,,,,,,,,,,
97,0.782812872,2.676363766,1.635959586,0.973955451,,,,,,,,,,
61,0.716233611,2.20677354,1.485521302,0.957840922,,,,,,,,,,
77,0.652669845,1.643938141,1.282161511,0.980179273,,,,,,,,,,
73,0.534874851,1.362380453,1.167210544,0.981277929,,,,,,,,,,
4,0.550715137,0.859360787,0.927017145,0.977346081,,,,,,,,,,
49,1.034350417,3.334887962,1.826167561,0.97144694,,,,,,,,,,
19,1.154648391,4.064924791,2.016165864,0.950876721,,,,,,,,,,
7,0.603814064,2.079112038,1.441912632,0.966747713,,,,,,,,,,
102,0.622002384,1.975424791,1.405498058,0.962741593,,,,,,,,,,
38,1.013420739,2.876913707,1.696146723,0.969727285,,,,,,,,,,
53,0.622789035,2.096620024,1.447971002,0.976441193,,,,,,,,,,
58,1.197699642,5.007670441,2.237782483,0.949829345,,,,,,,,,,
66,1.232777116,4.661125149,2.158963906,0.944126196,,,,,,,,,,
104,0.394123957,1.021342908,1.010615114,0.968626272,,,,,,,,,,
101,0.633504172,1.289412992,1.135523224,0.97518714,,,,,,,,,,
115,0.919070322,2.552030751,1.597507668,0.969708811,,,,,,,,,,
47,0.580929678,2.774223838,1.665600143,0.978498035,,,,,,,,,,
117,0.43488677,2.494715256,1.579466763,0.971876396,,,,,,,,,,
8,0.88398093,2.354858403,1.53455479,0.963615935,,,,,,,,,,
27,0.69306317,1.548648868,1.244447214,0.966180322,,,,,,,,,,
16,0.576769964,1.091700954,1.044844942,0.967643537,,,,,,,,,,
96,0.293420739,0.393985459,0.62768261,0.995271543,,,,,,,,,,
82,0.389856973,0.494393206,0.703131002,0.987864162,,,,,,,,,,
76,0.70272944,1.924324553,1.387200257,0.973803734,,,,,,,,,,
71,0.726424315,1.433263766,1.197189946,0.978573778,,,,,,,,,,
79,0.65306317,2.363713945,1.537437461,0.962005214,,,,,,,,,,
69,1.525804529,6.863207032,2.619772324,0.949116046,,,,,,,,,,
25,0.656912992,1.674964839,1.294204327,0.97676128,,,,,,,,,,
51,0.7570441,3.095142551,1.759301722,0.970078759,,,,,,,,,,
37,0.554338498,1.481799881,1.217292028,0.959987047,,,,,,,,,,
59,0.506126341,0.920650298,0.959505236,0.962079663,,,,,,,,,,
95,0.674410012,1.69104994,1.300403761,0.982473375,,,,,,,,,,
94,0.412765197,1.938914064,1.392448945,0.988210464,,,,,,,,,,
105,0.3759118,0.804667342,0.89703252,0.983677846,,,,,,,,,,
36,0.704457688,1.768452682,1.329831825,0.982822524,,,,,,,,,,
93,0.716543504,4.798898451,2.190638822,0.974471173,,,,,,,,,,
22,0.820166865,2.109871037,1.452539513,0.920632741,,,,,,,,,,
50,0.797175209,1.664752682,1.290252953,0.97994802,,,,,,,,,,
110,0.594803337,1.363957807,1.167886042,0.971697238,,,,,,,,,,
12,0.562169249,0.929754231,0.964237643,0.973431337,,,,,,,,,,
34,1.398224076,5.681166031,2.383519673,0.938211038,,,,,,,,,,
78,0.821501788,2.301163051,1.516958487,0.981063442,,,,,,,,,,
2,0.554696067,1.059149106,1.029149701,0.962748703,,,,,,,,,,
75,0.788545888,2.794310727,1.671619193,0.967613893,,,,,,,,,,
111,0.930429082,2.747066627,1.657427714,0.975601132,,,,,,,,,,
26,0.582777116,1.081418951,1.039912954,0.971004024,,,,,,,,,,
65,0.870882002,3.257711442,1.80491314,0.969524733,,,,,,,,,,
15,0.475375447,0.683543504,0.826766898,0.958055544,,,,,,,,,,
86,0.853611442,2.245320381,1.498439315,0.986556643,,,,,,,,,,
10,0.870750894,1.905438617,1.380376259,0.934355865,,,,,,,,,,
100,1.106281287,4.881140524,2.209330334,0.922930862,,,,,,,,,,
24,0.802789035,1.6664882,1.290925327,0.957133836,,,,,,,,,,
64,1.017854589,3.942099404,1.985472086,0.961203258,,,,,,,,,,
109,0.64909416,1.366848033,1.169122762,0.978421955,,,,,,,,,,
85,0.63794994,1.486854827,1.219366568,0.983415227,,,,,,,,,,
107,0.730500596,2.214382002,1.488079972,0.973482452,,,,,,,,,,
33,1.233718713,3.998297139,1.99957424,0.92764461,,,,,,,,,,
44,0.90579261,2.070945173,1.43907789,0.981739299,,,,,,,,,,
89,0.661716329,2.136682956,1.461739702,0.956803733,,,,,,,,,,
57,0.482777116,1.247078308,1.116726604,0.967771173,,,,,,,,,,
80,0.810417163,3.008620977,1.734537684,0.961690631,,,,,,,,,,
41,0.514421931,0.975575209,0.987712108,0.974282186,,,,,,,,,,
3,0.698035714,1.267817262,1.125973917,0.94189084,,,,,,,,,,
40,0.792083333,1.600864405,1.265252704,0.962365909,,,,,,,,,,
29,1.1055,3.913962619,1.978373731,0.954372952,,,,,,,,,,
103,0.362761905,0.916455,0.957316562,0.981858526,,,,,,,,,,
28,1.093392857,3.617905119,1.902079157,0.945181556,,,,,,,,,,
39,0.767357143,1.517647143,1.231928221,0.918914152,,,,,,,,,,
83,0.785654762,1.987591548,1.409819686,0.983400536,,,,,,,,,,
92,0.893047619,3.861947381,1.965183803,0.977662503,,,,,,,,,,
21,0.830321429,1.993404881,1.41187991,0.975805961,,,,,,,,,,
88,0.616702381,0.947952976,0.973628767,0.987897694,,,,,,,,,,
